"county","total_itop","asian_itop","hispanic_itop","white_itop","black_itop","native_american_itop","other_itop","year","tot_pop","urban","total_rate","white_rate","black_rate","hispanic_rate","asian_rate","native_american_rate","other_rate"
"Ward",2,0,0,2,0,0,0,2021,5719,"Rural",0.349711488022382,0.881834215167548,0,0,0,0,0
"Washington",42,2,10,13,17,0,0,2021,18200,"Rural",2.30769230769231,1.14668783628826,5.90893291623219,3.22893122376493,6.94444444444444,0,0
"Webb",296,0,230,58,5,0,0,2021,137170,"Urban",2.1579062477218,14.3599900965586,15.2905198776758,1.74781333353598,0,0,0
"Wharton",64,2,26,22,14,0,0,2021,21005,"Rural",3.04689359676268,2.36355822948002,5.04868373602597,3.08972073677956,21.978021978022,0,0
"Wheeler",1,0,0,1,0,0,0,2021,2493,"Rural",0.401123144805455,0.572409845449342,0,0,0,0,0
"Wichita",100,3,36,30,28,1,2,2021,63241,"Urban",1.58125266836388,0.757920266787934,4.70746469401479,2.95081967213115,2.0746887966805,2.05338809034908,0.558971492453885
"Wilbarger",6,0,1,1,4,0,0,2021,6506,"Rural",0.922225637872733,0.281214848143982,7.88954635108481,0.53248136315229,0,0,0
"Willacy",18,0,11,7,0,0,0,2021,9505,"Rural",1.89374013677012,8.9628681177977,0,1.27847512784751,0,0,0
"Williamson",834,95,215,349,130,3,13,2021,310270,"Urban",2.6879814355239,2.04367252050992,6.56963816454417,2.8685790527018,3.40270066979476,3.84615384615385,0.809363715602042
"Wilson",60,0,34,22,1,0,0,2021,24837,"Rural",2.41575069452832,1.60233066278223,3.08641975308642,3.49040139616056,0,0,0
"Winkler",1,0,1,0,0,0,0,2021,3762,"Rural",0.26581605528974,0,0,0.437636761487965,0,0,0
"Wise",46,1,19,26,0,0,0,2021,34173,"Urban",1.34609194393234,1.02600528787341,0,2.86879057828778,4.5045045045045,0,0
"Wood",23,0,4,18,1,0,0,2021,22638,"Rural",1.01599081190918,0.982908316496478,1.3550135501355,1.72562553925798,0,0,0
"Yoakum",14,0,6,2,6,0,0,2021,3883,"Rural",3.60545969611125,1.5552099533437,181.818181818182,2.4232633279483,0,0,0
"Young",8,0,1,7,0,0,0,2021,9046,"Rural",0.884368781782003,1.0186263096624,0,0.599161174355902,0,0,0
"Zapata",15,0,12,3,0,0,0,2021,6924,"Rural",2.16637781629116,8.59598853868195,0,1.83654729109275,0,0,0
"Zavala",17,0,14,3,0,0,0,2021,4977,"Rural",3.41571227647177,10.5633802816901,0,3.03030303030303,0,0,0
